,algorithm_name
56,weka.ZeroR
57,weka.OneR
58,weka.NaiveBayes
59,weka.JRip
60,weka.J48
61,weka.REPTree
62,weka.DecisionStump
63,weka.HoeffdingTree
64,weka.RandomTree
65,weka.RandomForest
66,weka.IBk
67,weka.BayesNet_K2
70,weka.SMO_PolyKernel
72,weka.SMO_RBFKernel
74,weka.Logistic
75,weka.AdaBoostM1_DecisionStump
76,weka.Bagging_REPTree
77,weka.LogitBoost_DecisionStump
119,weka.NaiveBayesMultinomial
120,weka.NaiveBayesMultinomialUpdateable
121,weka.NaiveBayesUpdateable
124,weka.MultilayerPerceptron
126,weka.SimpleLogistic
130,weka.KStar
131,weka.LWL_DecisionStump
133,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48
136,weka.ClassificationViaRegression_M5P
138,weka.CVParameterSelection_ZeroR
139,weka.FilteredClassifier_Discretize_J48
141,weka.MultiClassClassifier_Logistic
142,weka.MultiClassClassifierUpdateable_SGD
143,weka.MultiScheme_ZeroR
144,weka.RandomCommittee_RandomTree
145,weka.RandomSubSpace_REPTree
147,weka.Vote_ZeroR
148,weka.DecisionTable_BestFirst
150,weka.PART
151,weka.LMT
153,weka.Bagging_RandomTree
154,weka.Bagging_DecisionStump
155,weka.Bagging_LMT
156,weka.Bagging_J48
157,weka.Bagging_OneR
158,weka.Bagging_JRip
159,weka.Bagging_BFTree
160,weka.BFTree
163,weka.Bagging_LADTree
164,weka.LADTree
165,weka.Bagging_RandomForest
166,weka.Bagging_NaiveBayes
174,weka.Bagging_MultilayerPerceptron
175,weka.Bagging_SMO_PolyKernel
179,weka.SPegasos
180,weka.Bagging_IBk
181,weka.Bagging_LWL_DecisionStump
182,weka.MultiBoostAB_DecisionStump
183,weka.MultiBoostAB_RandomTree
184,weka.MultiBoostAB_RandomForest
185,weka.MultiBoostAB_REPTree
186,weka.MultiBoostAB_LMT
187,weka.MultiBoostAB_J48
188,weka.MultiBoostAB_OneR
189,weka.MultiBoostAB_JRip
190,weka.MultiBoostAB_BFTree
192,weka.MultiBoostAB_LADTree
193,weka.MultiBoostAB_NaiveBayes
198,weka.MultiBoostAB_MultilayerPerceptron
199,weka.MultiBoostAB_SMO_PolyKernel
201,weka.MultiBoostAB_IBk
202,weka.MultiBoostAB_LWL_DecisionStump
204,weka.AdaBoostM1_RandomTree
205,weka.AdaBoostM1_LMT
206,weka.AdaBoostM1_REPTree
207,weka.AdaBoostM1_J48
208,weka.AdaBoostM1_OneR
209,weka.AdaBoostM1_JRip
210,weka.AdaBoostM1_BFTree
212,weka.AdaBoostM1_LADTree
213,weka.AdaBoostM1_RandomForest
214,weka.AdaBoostM1_NaiveBayes
219,weka.AdaBoostM1_MultilayerPerceptron
220,weka.AdaBoostM1_SMO_PolyKernel
222,weka.AdaBoostM1_IBk
223,weka.AdaBoostM1_LWL_DecisionStump
227,weka.BayesNet_GeneticSearch
229,weka.BayesNet_HillClimber
231,weka.BayesNet_LAGDHillClimber
233,weka.BayesNet_RepeatedHillClimber
235,weka.BayesNet_SimulatedAnnealing
237,weka.BayesNet_TabuSearch
239,weka.BayesNet_TAN
241,weka.ComplementNaiveBayes
271,weka.RBFClassifier
272,weka.RBFNetwork
275,weka.LWL_J48
276,weka.LWL_RandomForest
277,weka.LWL_RandomTree
278,weka.LWL_NaiveBayes
281,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_ADTree
282,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_BFTree
283,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_DecisionStump
284,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_HoeffdingTree
285,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_LADTree
286,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_LMT
287,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RandomForest
289,weka.IsolationForest
291,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_NBTree
292,weka.NBTree
293,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RandomTree
294,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_REPTree
298,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_ComplementNaiveBayes
300,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_NaiveBayes
305,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_Logistic
306,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_MLPClassifier
308,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_MultilayerPerceptron
312,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RBFClassifier
313,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RBFNetwork
314,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_SimpleLogistic
317,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_VotedPerceptron
320,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_KStar
323,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_AdaBoostM1_DecisionStump
324,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_Bagging_REPTree
325,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_LogitBoost_DecisionStump
329,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_ConjunctiveRule
330,weka.ConjunctiveRule
331,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_DecisionTable_BestFirst
333,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_JRip
334,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_OneR
335,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_DTNB
336,weka.DTNB
344,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_PART
345,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_ZeroR
347,weka.ClassificationViaClustering_SimpleKMeans_EuclideanDistance
350,weka.Dagging_DecisionStump
352,weka.END_ND_J48
354,weka.RacedIncrementalLogitBoost_DecisionStump
355,weka.Prism
356,weka.Ridor
358,weka.SimpleCart
364,weka.ZeroR
365,weka.J48
375,weka.OneR
376,weka.AdaBoostM1_DecisionStump
378,weka.Bagging_REPTree
380,weka.NaiveBayes
384,weka.SGD
385,weka.SMO_PolyKernel
387,weka.SMO_RBFKernel
389,weka.IBk
390,weka.JRip
391,weka.RandomForest
392,weka.A1DE
393,weka.A2DE
394,weka.AdaBoostM1_ADTree
396,weka.AdaBoostM1_BayesianLogisticRegression
397,weka.BayesianLogisticRegression
398,weka.AdaBoostM1_BFTree
404,weka.AdaBoostM1_IBk
405,weka.AdaBoostM1_J48
406,weka.AdaBoostM1_JRip
407,weka.AdaBoostM1_LADTree
411,weka.AdaBoostM1_LMT
413,weka.AdaBoostM1_LWL_DecisionStump
417,weka.AdaBoostM1_NaiveBayes
418,weka.AdaBoostM1_OneR
