task_id,weka.NaiveBayes,weka.REPTree,weka.BayesNet_K2,weka.J48,weka.Logistic,weka.PART,weka.RandomForest,weka.DecisionStump
3,0.874218,0.9903,0.874218,0.994681,0.974343,0.9903,0.9935395294117647,0.660513
6,0.64105,0.8457,0.74345,0.87795,0.7736,0.8865,0.9407,0.0709
11,0.9072,0.7744,0.7264,0.768,0.896,0.8208,0.8358,0.584
12,0.924,0.8765,0.9335,0.8895,0.9825,0.8985,0.968,0.1965
14,0.7595,0.752,0.777,0.7625,0.742,0.7555,0.8345277777777778,0.197
15,0.9642342500000001,0.9520743333333334,0.969957,0.945637,0.965665,0.944206,0.9699570000000001,0.924177
16,0.935,0.773,0.9235000000000001,0.8095,0.896,0.8455,0.9625,0.1945
18,0.6935,0.7135,0.6805,0.7245,0.74,0.7215,0.70625,0.1995
22,0.734,0.696,0.7145,0.7085,0.788,0.72,0.772,0.196
23,0.507128,0.521385,0.501697,0.5357092999999999,0.507128,0.53632,0.52019675,0.42702
28,0.9166073333333333,0.895552,0.922242,0.90427,0.942883,0.927936,0.982206,0.197509
29,0.787319,0.8466185,0.866667,0.85942,0.847826,0.849275,0.862319,0.855072
31,0.753,0.7068333333333333,0.751,0.7094545454545454,0.753,0.681,0.765,0.7
32,0.8632462000000001,0.954876,0.879276,0.965793,0.955331,0.969614,0.9914479999999999,0.204148
37,0.759115,0.744792,0.752604,0.7489584666666667,0.776042,0.730469,0.766927,0.71875
43,0.82058275,0.929581,0.897196,0.92719,0.927842,0.937188,0.954575,0.77983
45,0.954859,0.9098228333333332,,0.9174504444444445,0.90721,0.9279,0.94724135,0.623824
49,0.700418,0.796451,0.699374,0.853862,0.982255,0.946764,0.971816,0.699374
53,0.49881766666666666,0.710402,0.604019,0.7105990333333333,0.800236,0.719858,0.7540713333333334,0.395981
219,0.730049,0.880275,0.745123,0.908126,0.761145,0.853372,0.92731955,0.757393
2074,0.8033693333333334,0.862053,0.82084,0.862208,0.857543,0.864541,0.9155520000000001,0.437325
2079,0.552989,0.4404438333333333,0.54212,0.616848,0.644022,0.584239,0.5625,0.485054
3021,0.9417636666666667,0.985419,0.971368,0.985684,0.967391,0.986744,0.9863633125,0.965536
3022,0.627273,0.662626,,0.5455219333333333,0.811111,0.763636,0.9487370625,0.176768
3481,0.850712,0.816981,0.899064,0.840451,0.954341,0.848147,0.9393275625,0.076824
3549,0.989298,0.925089,0.992866,0.956005,0.990488,0.951249,0.991677,0.558859
3560,0.215809,0.179423,0.215809,0.205772,0.224592,0.195734,0.20522300000000002,0.183187
3573,0.693371,0.876271,0.839114,0.889614,,0.911443,0.966429,0.204557
3902,0.874486,0.888203,0.743484,0.89369,0.912894,0.895748,0.9091651875,0.877915
3903,0.476008,0.893154,0.697377,0.8866811176470588,0.897633,0.886116,0.9059500000000001,0.897633
3904,0.804226,0.803583,0.680753,0.8067004666666667,0.813505,0.811759,0.819109,0.806523
3913,0.835249,0.816092,0.796935,0.8190218823529412,0.818008,0.818008,0.833333,0.804598
3917,0.823613,0.850166,0.711238,0.8460248666666667,0.85633,0.844002,0.865813,0.845424
3918,0.890893,0.935077,0.735798,0.93147,0.923354,0.935978,0.938683,0.930568
7592,0.832624,0.850723,,0.8598249285714286,0.848061,0.857377,0.8464411249999999,0.760718
9910,,,,,,,,
9946,0.933216,0.934974,0.945518,0.917618625,0.952548,0.933216,0.9626539375000001,0.88225
9952,0.7660995,0.862139,0.767765,0.8343572,0.74963,0.842524,0.9115470625,0.753146
9957,0.76540275,0.823697,0.803791,0.8108057333333334,0.867299,0.854028,0.8651065,0.713744
9960,0.61455275,0.994318,0.882148,0.9752932,0.705095,0.996701,0.9959565,0.698864
9964,0.863151,0.728814,0.853735,0.6336471333333333,0.838041,0.787194,0.9252589375,0.19774
9971,0.560892,0.679245,,0.6957853571428572,0.725557,0.698113,0.7019725625,0.713551
9976,0.6,0.759231,,0.7073626428571428,0.566154,0.628846,0.722379875,0.616538
9977,0.85200175,0.953489,0.901233,0.9470322666666667,0.949369,0.959031,0.9687489375,0.852517
9978,0.700868,0.934491,0.74191,0.9301238000000001,0.936464,0.918311,0.94354275,0.936859
9981,0.9347225,0.805556,0.894444,0.6309876666666666,0.912963,0.874074,0.92019675,0.205556
9985,0.23361425,0.539555,0.418601,0.5247139333333333,0.479078,0.558025,0.6315280625,0.416803
10093,0.8586002500000001,0.978134,0.919825,0.9395529333333333,0.987609,0.986152,0.9921650624999999,0.840379
10101,0.75,0.766043,0.748663,0.7775400666666666,0.77139,0.782086,0.74766025,0.762032
14952,,,,,,,,
14954,,,,,,,,
14965,0.880007,0.902391,,0.9037339285714285,0.901418,0.890934,0.90176475,0.883015
14969,0.4174010000000001,0.521321,,0.5178119285714285,0.475843,0.538945,0.6830749375,0.448901
14970,0.749005,0.9331,,0.9179532142857143,0.970094,0.955044,0.9786629375,0.355666
125920,,,,,,,,
125922,,,,,,,,
146195,,,,,,,,
146800,,,,,,,,
146817,,,,,,,,
146819,,,,,,,,
146820,,,,,,,,
146821,,,,,,,,
146822,,,,,,,,
146824,,,,,,,,
146825,,,,,,,,
167119,,,,,,,,
167120,,,,,,,,
167121,,,,,,,,
167124,,,,,,,,
167125,,,,,,,,
167140,,,,,,,,
167141,,,,,,,,
